gene_id	direction
AT5G46260	down
AT5G09530	down
AT1G02340	down
AT2G23590	down
AT3G15670	down
AT3G21780	down
AT2G40370	down
AT2G25330	down
AT1G56360	down
AT2G27050	down
AT4G20680	down
AT1G24220	down
AT2G33020	down
AT1G33960	down
AT2G13550	down
AT1G49500	down
AT1G49310	down
AT5G35480	down
AT5G39160	down
AT3G17220	down
AT1G70890	down
AT1G65500	down
AT1G61700	down
AT3G15356	down
AT2G30130	down
AT3G23250	down
AT1G02460	down
AT1G09500	down
AT1G73890	down
AT5G42380	down
AT4G14370	down
AT1G25054	down
AT2G36750	down
AT5G08030	down
AT5G60950	down
AT1G78440	down
AT4G37370	down
AT3G53830	down
AT1G17420	down
AT1G66760	down
AT3G20975	down
AT3G27025	down
AT2G35640	down
AT5G10760	down
AT1G05320	down
AT3G16530	down
AT4G16160	down
AT1G07610	down
AT1G55820	down
AT2G38920	down
AT2G14210	down
AT4G25530	down
AT1G01480	down
AT4G34580	down
AT1G07340	down
AT1G29910	down
AT1G58889	down
AT3G04720	down
AT1G61340	down
AT1G53270	down
AT5G13600	down
AT1G35230	down
AT5G42230	down
AT5G41315	down
AT5G13130	down
AT5G54470	down
AT3G25882	down
AT2G43590	down
AT5G54300	down
AT4G32870	down
AT2G18660	down
AT4G30090	down
AT1G74870	down
AT1G23840	down
AT3G18570	down
AT3G25770	down
AT2G18340	down
AT3G48520	down
AT1G01030	down
AT3G49830	down
AT3G59030	down
AT2G46790	down
AT4G20860	down
AT1G02450	down
AT5G42460	down
AT1G01560	down
AT1G24580	down
AT2G36770	down
AT1G28480	down
AT2G15650	down
AT2G34180	down
AT1G73805	down
AT3G05160	down
AT5G19230	down
AT5G51530	down
AT2G41850	down
AT1G74890	down
AT1G22760	down
AT3G63380	down
AT2G30250	down
AT5G19190	down
AT2G34700	down
AT3G22060	down
AT4G17550	down
AT5G03350	down
AT5G02550	down
AT1G35170	down
AT5G44210	down
AT5G44980	down
AT5G09370	down
AT3G57020	down
AT5G43420	down
AT3G21040	down
AT2G15620	down
AT3G03530	down
AT3G62930	down
AT1G45145	down
AT1G75540	down
AT2G19190	down
AT5G24110	down
AT2G36630	down
AT5G36220	down
AT2G12450	down
AT5G56980	down
AT5G16010	down
AT1G08230	down
AT2G31220	down
AT2G37180	down
AT1G17920	down
AT5G42260	down
AT4G15690	down
AT1G31710	down
AT2G20550	down
AT5G20710	down
AT2G28680	down
AT3G28315	down
AT2G16060	down
AT3G14540	down
AT1G58340	down
AT1G18773	down
AT2G28305	down
AT1G09540	down
AT3G13900	down
AT2G47485	down
AT1G56650	down
AT3G48360	down
AT4G36740	down
AT5G06980	down
AT1G16400	down
AT5G37950	down
AT4G36470	down
AT2G27035	down
AT3G25180	down
AT1G67920	down
AT5G04370	down
AT4G29905	down
AT1G20135	down
AT1G08940	down
AT1G13670	down
AT2G42170	down
AT3G01830	down
AT5G24160	down
AT2G43610	down
AT2G37360	down
AT2G16910	down
AT3G55500	down
AT5G15500	down
AT4G01870	down
AT2G26580	down
AT2G38640	down
AT2G01520	down
AT5G62850	down
AT1G19050	down
AT5G17460	down
AT4G37400	down
AT1G75030	down
AT2G30830	down
AT1G16260	down
AT4G36850	down
AT2G34170	down
AT3G43190	down
AT5G02020	down
AT5G64770	down
AT3G07350	down
AT5G24530	down
AT3G54950	down
AT1G23935	down
AT4G27657	down
AT3G02510	down
AT5G45470	down
AT1G22430	down
AT5G03620	down
AT4G33800	down
AT3G05460	down
AT5G26630	down
AT3G17150	down
AT2G38760	down
AT3G21990	down
AT4G01700	down
AT1G03220	down
AT3G02150	down
AT5G49480	down
AT3G21000	down
AT5G59760	down
AT5G06610	down
AT3G61890	down
AT5G55090	down
AT2G43010	down
AT4G11030	down
AT5G34871	down
AT1G67260	down
AT1G11080	down
AT4G20320	down
AT4G39830	down
AT3G59480	down
AT1G68500	down
AT5G45490	down
AT5G16720	down
AT3G27400	down
AT5G56970	down
AT3G47090	down
AT4G36670	down
AT5G46960	down
AT3G05630	down
AT1G08730	down
AT4G01525	down
AT3G28580	down
AT5G06820	down
AT1G16370	down
AT1G03940	down
AT1G66230	down
AT5G57810	down
AT2G45850	down
AT4G00730	down
AT1G78850	down
AT1G14870	down
AT3G53230	down
AT5G63750	down
AT4G16990	down
AT1G02400	down
AT4G04220	down
AT5G65170	down
AT1G24600	down
AT3G53960	down
AT5G59220	down
AT2G29350	down
AT4G26090	down
AT3G14440	down
AT3G46660	down
AT2G02450	down
AT4G23140	down
AT5G06530	down
AT5G22390	down
AT5G03210	down
AT1G19490	down
AT3G62950	down
AT2G18700	down
AT3G19030	down
AT5G42900	down
AT5G28646	down
AT4G27520	down
AT2G10410	down
AT2G25680	down
AT1G67220	down
AT2G30630	down
AT3G24503	down
AT5G46540	down
AT2G31210	down
AT3G60390	down
AT3G29040	down
AT5G11130	down
AT1G50310	down
AT3G02140	down
AT4G13840	down
AT4G25990	down
AT3G09405	down
AT4G34000	down
AT5G51105	down
AT2G16505	down
AT2G43820	down
AT5G44640	down
AT3G57670	down
AT5G54170	down
AT5G18470	down
AT5G46795	down
AT3G23030	down
AT3G01300	down
AT1G66960	down
AT5G39860	down
AT2G36590	down
AT1G49600	down
AT1G08050	down
AT1G54560	down
AT1G22690	down
AT2G41940	down
AT5G13100	down
AT4G37390	down
AT3G02060	down
AT1G32940	down
AT2G39700	down
AT1G14580	down
AT1G21130	down
AT2G47270	down
AT3G53310	down
AT1G51800	down
AT5G19875	down
AT4G29000	down
AT5G13205	down
AT2G18350	down
AT2G35300	down
AT2G15960	down
AT3G25010	down
AT4G21390	down
AT2G35650	down
AT1G69480	down
AT3G06070	down
AT1G17940	down
AT2G25940	down
AT5G28913	down
AT5G15190	down
AT2G47670	down
AT5G64120	down
AT3G51490	down
AT2G15970	down
AT3G19270	down
AT5G59240	down
AT3G53180	down
AT1G04310	down
AT1G17990	down
AT3G04620	down
AT3G32980	down
AT4G22530	down
AT5G43170	down
AT2G31865	down
AT1G77450	down
AT1G80840	down
AT1G22275	down
AT5G55400	down
AT5G37810	down
AT2G46660	down
AT1G02050	down
AT5G47070	down
AT1G11990	down
AT5G63160	down
AT5G35390	down
AT5G53486	down
AT5G25140	down
AT4G10260	down
AT2G47180	down
AT4G13180	down
AT5G03890	down
AT1G52430	down
AT1G23940	down
AT5G51850	down
AT4G27310	down
AT5G38200	down
AT2G40520	down
AT3G48410	down
AT2G41290	down
AT3G05640	down
AT3G48115	down
AT5G64230	down
AT4G38760	down
AT5G10170	down
AT4G08670	down
AT5G06250	down
AT1G31310	down
AT3G25760	down
AT1G18280	down
AT2G26330	down
AT2G41870	down
AT1G78160	down
AT3G54890	down
AT5G57050	down
AT1G24400	down
