subset	ensembl_gene_id
a	ENSMUSG00000036061
a	ENSMUSG00000037936
a	ENSMUSG00000018750
a	ENSMUSG00000038026
a	ENSMUSG00000010175
a	ENSMUSG00000041741
a	ENSMUSG00000026193
a	ENSMUSG00000035539
a	ENSMUSG00000023495
a	ENSMUSG00000028188
a	ENSMUSG00000039763
a	ENSMUSG00000034295
a	ENSMUSG00000116166
a	ENSMUSG00000057286
a	ENSMUSG00000040632
a	ENSMUSG00000048503
a	ENSMUSG00000063142
a	ENSMUSG00000025650
a	ENSMUSG00000036054
a	ENSMUSG00000017400
a	ENSMUSG00000097886
a	ENSMUSG00000033849
a	ENSMUSG00000079484
a	ENSMUSG00000002055
a	ENSMUSG00000061411
a	ENSMUSG00000050711
a	ENSMUSG00000079523
a	ENSMUSG00000020937
a	ENSMUSG00000040125
a	ENSMUSG00000031637
a	ENSMUSG00000039114
a	ENSMUSG00000021009
a	ENSMUSG00000072624
a	ENSMUSG00000050786
a	ENSMUSG00000020069
a	ENSMUSG00000074365
a	ENSMUSG00000033419
a	ENSMUSG00000001120
a	ENSMUSG00000042671
a	ENSMUSG00000056494
a	ENSMUSG00000025496
a	ENSMUSG00000030787
a	ENSMUSG00000053420
a	ENSMUSG00000046049
a	ENSMUSG00000038828
a	ENSMUSG00000035126
a	ENSMUSG00000070880
a	ENSMUSG00000113393
a	ENSMUSG00000028842
a	ENSMUSG00000071648
a	ENSMUSG00000087298
a	ENSMUSG00000054752
a	ENSMUSG00000049550
a	ENSMUSG00000020089
a	ENSMUSG00000069170
a	ENSMUSG00000053773
a	ENSMUSG00000038312
a	ENSMUSG00000027284
a	ENSMUSG00000034786
a	ENSMUSG00000003038
a	ENSMUSG00000028630
a	ENSMUSG00000018378
a	ENSMUSG00000054074
a	ENSMUSG00000079055
a	ENSMUSG00000036854
a	ENSMUSG00000042826
a	ENSMUSG00000001027
a	ENSMUSG00000028766
a	ENSMUSG00000029544
a	ENSMUSG00000031441
a	ENSMUSG00000059810
a	ENSMUSG00000013593
a	ENSMUSG00000028906
a	ENSMUSG00000050229
a	ENSMUSG00000048376
a	ENSMUSG00000005204
a	ENSMUSG00000063229
a	ENSMUSG00000028101
a	ENSMUSG00000053702
a	ENSMUSG00000039789
a	ENSMUSG00000037400
a	ENSMUSG00000026930
a	ENSMUSG00000043467
a	ENSMUSG00000081683
a	ENSMUSG00000035024
a	ENSMUSG00000112808
a	ENSMUSG00000042251
a	ENSMUSG00000028255
a	ENSMUSG00000020486
a	ENSMUSG00000030878
a	ENSMUSG00000114123
a	ENSMUSG00000079108
a	ENSMUSG00000026141
a	ENSMUSG00000021730
a	ENSMUSG00000026014
a	ENSMUSG00000037957
a	ENSMUSG00000108218
a	ENSMUSG00000041261
a	ENSMUSG00000020661
a	ENSMUSG00000038056
a	ENSMUSG00000026933
a	ENSMUSG00000075706
a	ENSMUSG00000024993
a	ENSMUSG00000028456
a	ENSMUSG00000032384
a	ENSMUSG00000021775
a	ENSMUSG00000026667
a	ENSMUSG00000001419
a	ENSMUSG00000037112
a	ENSMUSG00000111485
a	ENSMUSG00000032332
a	ENSMUSG00000025035
a	ENSMUSG00000117877
a	ENSMUSG00000105207
a	ENSMUSG00000114367
a	ENSMUSG00000087235
a	ENSMUSG00000025787
a	ENSMUSG00000113395
a	ENSMUSG00000090115
a	ENSMUSG00000047496
a	ENSMUSG00000008206
a	ENSMUSG00000024589
a	ENSMUSG00000040111
a	ENSMUSG00000053907
a	ENSMUSG00000037266
a	ENSMUSG00000021803
a	ENSMUSG00000045776
a	ENSMUSG00000063077
a	ENSMUSG00000070730
a	ENSMUSG00000027332
a	ENSMUSG00000036197
a	ENSMUSG00000037336
a	ENSMUSG00000020279
a	ENSMUSG00000025085
a	ENSMUSG00000034684
a	ENSMUSG00000113795
a	ENSMUSG00000051000
a	ENSMUSG00000030310
a	ENSMUSG00000052085
a	ENSMUSG00000021270
a	ENSMUSG00000019232
a	ENSMUSG00000032902
a	ENSMUSG00000032292
a	ENSMUSG00000095595
a	ENSMUSG00000022564
a	ENSMUSG00000025417
a	ENSMUSG00000115279
a	ENSMUSG00000026669
a	ENSMUSG00000031530
a	ENSMUSG00000040722
a	ENSMUSG00000041794
a	ENSMUSG00000035283
a	ENSMUSG00000002249
a	ENSMUSG00000029651
a	ENSMUSG00000040896
a	ENSMUSG00000009828
a	ENSMUSG00000040761
a	ENSMUSG00000027981
a	ENSMUSG00000097328
a	ENSMUSG00000018574
a	ENSMUSG00000000617
a	ENSMUSG00000007570
a	ENSMUSG00000046593
a	ENSMUSG00000030064
a	ENSMUSG00000031586
a	ENSMUSG00000035403
a	ENSMUSG00000033080
a	ENSMUSG00000019889
a	ENSMUSG00000042258
a	ENSMUSG00000064179
a	ENSMUSG00000045817
a	ENSMUSG00000036834
a	ENSMUSG00000028909
a	ENSMUSG00000025092
a	ENSMUSG00000030513
a	ENSMUSG00000020021
a	ENSMUSG00000022935
a	ENSMUSG00000020053
a	ENSMUSG00000030527
a	ENSMUSG00000019139
a	ENSMUSG00000062519
a	ENSMUSG00000048540
a	ENSMUSG00000087370
a	ENSMUSG00000036192
a	ENSMUSG00000021196
a	ENSMUSG00000026114
a	ENSMUSG00000043004
a	ENSMUSG00000048015
a	ENSMUSG00000000276
a	ENSMUSG00000114004
a	ENSMUSG00000094472
a	ENSMUSG00000063450
a	ENSMUSG00000034796
a	ENSMUSG00000020431
a	ENSMUSG00000038319
a	ENSMUSG00000042650
a	ENSMUSG00000020108
a	ENSMUSG00000029166
a	ENSMUSG00000020912
a	ENSMUSG00000020640
a	ENSMUSG00000025323
a	ENSMUSG00000035615
a	ENSMUSG00000052534
a	ENSMUSG00000024647
a	ENSMUSG00000085328
a	ENSMUSG00000020262
a	ENSMUSG00000010064
a	ENSMUSG00000007950
a	ENSMUSG00000021957
a	ENSMUSG00000002028
a	ENSMUSG00000039065
a	ENSMUSG00000022999
a	ENSMUSG00000039728
a	ENSMUSG00000074925
a	ENSMUSG00000027488
